coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Nov 28 16:30:02 +0000 2022,,,,9,1597266579062149122,matipniewski,1597230411964612608,1401581154441076700,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@matipniewski Wydaje mi się że Twitter to miejsce na rzucenie jakiejś myśli/szybkiego newsa. Ale niestety elon musk musi napisać co myśli o swojej byłej żonie w max 10 tweetach więc musi zwiększyć ilość znakow,https://twitter.com/ko_smaty/status/1597266579062149122,Wed Feb 09 19:19:00 +0000 2022,1491491792843386898,false,sraka,77,2,8,0,sraka,sraka,ko_smaty,244,,http://sraka.com,false
,Mon Nov 28 20:35:39 +0000 2022,,,,35,1597328388636938241,,,,pl,,,,4,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Apple grozi, że usunie Twittera ze swojego sklepu, za powrót do wolności słowa

Na co Elon Musk odpowiada, że jeśli to zrobią to stworzy własny telefon. Artyku",https://twitter.com/PrawaStronaa/status/1597328388636938241,Sat Jan 25 21:51:32 +0000 2020,1221188830834962435,false,"➡️ Nowe Konto niestety po 4 latach działania poprzedniego, 16 000 obserwujących miało poprzednie 😭😭😭

Cześć i chwała Polskim bohaterom 🇵🇱 Anti-feminist",75198,8186,589,162,Polska,PrawyPopulista 🇵🇱🇺🇦,PrawaStronaa,80738,,,false
,Mon Nov 28 16:41:28 +0000 2022,,,,0,1597269455020883968,mharger20,1597269148681220096,836008993587888100,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mano do nada o elon musk kkkkkkkkkk,https://twitter.com/mharger20/status/1597269455020883968,Mon Feb 27 00:24:11 +0000 2017,836008993587888130,false,"apenas um jovem do reggae 
insta📸 @m.harger",14588,102,622,0,,Harger do 047,mharger20,5690,,http://Twich.tv/mharger20,false
,Mon Nov 28 19:35:31 +0000 2022,,,,0,1597313255554572289,MussaBabaleo2,1597312299101933568,1464324918959829000,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@MussaBabaleo2 kwani we ndio elon musk,https://twitter.com/WaMpembee/status/1597313255554572289,Sun Dec 25 09:34:19 +0000 2016,812954618934284288,false,"I love my life, God is my saviour",6620,281,920,0,Tanzania,Waltz,WaMpembee,1242,,,false
,Mon Nov 28 13:24:52 +0000 2022,,,,1,1597219976712433665,elonmusk,1597170780130852864,44196397,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@elonmusk What do you mean(wdym elon?, Wdym musk?, Wdym threaten?, wdym free?, wdym speech?, wdym on?, wdym twitter?, wdym by?, wdym allowing, wdym people?, wdym speak?, wdym freely? 😬",https://twitter.com/realMarkDamasco/status/1597219976712433665,Thu May 19 03:54:12 +0000 2011,301239780,false,Curiosity is my forever passion.,2701,34,239,0,,Mark Damasco,realMarkDamasco,875,,,false
,Mon Nov 28 18:28:16 +0000 2022,,,https://cyberfeed.pl/elon-musk-sugeruje-ze-apple-nienawidzi-wolnosci-slowa-po-tym-jak-w-wiekszosci-przestal-reklamowac-sie-na-twitterze/,0,1597296329838845952,,,,pl,,false,,0,,,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>","Elon Musk sugeruje, że Apple nienawidzi wolności słowa po tym, jak „w większości przestał” reklamować się na Twitterze https://t.co/Hu0XEjpufF",https://twitter.com/CyberfeedP/status/1597296329838845952,Thu Oct 01 14:18:55 +0000 2020,1311671912205103104,false,Technology News,7,110,46,1,Poland,CyberFeed.pl,CyberfeedP,67731,,https://www.cyberfeed.pl/,false
,Mon Nov 28 22:01:04 +0000 2022,,,https://kresy.pl/?p=853255,6,1597349884230860802,,,,pl,,false,,1,,,"<a href=""https://kresy.pl"" rel=""nofollow"">KresyPL</a>","Elon Musk oskarżył firmę Apple o grożenie zablokowaniem Twittera w swoim sklepie z aplikacjami. Według Muska, Apple nie podał przyczyny dla której miałoby dojść do blokady. https://t.co/gPWCKfvLgY",https://twitter.com/KRESYPL/status/1597349884230860802,Thu Oct 29 08:38:03 +0000 2009,86022744,false,Portal informacyjno-społecznościowy.,2727,10541,464,102,Warszawa/Kraków,KRESY.PL,KRESYPL,95409,,http://www.kresy.pl,false
,Mon Nov 28 19:55:09 +0000 2022,,,,0,1597318197937864705,LayahHeilpern,1597019425336483843,455937214,pl,,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@LayahHeilpern @elonmusk elon musk(ovski)..? free speech..? ahhaahhhaaahha..,https://twitter.com/sbaiesu/status/1597318197937864705,Sun Feb 16 06:07:49 +0000 2014,2346347971,false,,45614,70,246,1,,sbaiesu,sbaiesu,2940,,,false
,Mon Nov 28 11:40:51 +0000 2022,,,,2,1597193802942681088,_widua,1597171676151975942,939483456211488800,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@_widua Może elon musk po prostu zjebał sprawę,https://twitter.com/pjeroshki/status/1597193802942681088,Tue Jan 28 00:26:48 +0000 2020,1221952689615048710,false,fanka ariany | jestem elfem 🧚‍♀️✨ | lubię anime | chrześcijanka ✝️| almost family friendly content | twoja lokalna królowa dram,48980,1864,350,26,she/her,𝐚𝐤𝐤𝐨 ✧˖°,pjeroshki,40955,,http://ngl.link/pjeroshki,false
,Mon Nov 28 21:53:54 +0000 2022,,,,1,1597348081380470787,,,,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",MAM W MUZGU NEURALINKA PODSŁUCHUJĄ MOJE SZEPTY AAAA KURWWAAAAAA ELON MUSK!!!!!!!!!!!!! ZOSTAW MOJ MUZG!!!!!!!!!,https://twitter.com/DragomirSonar/status/1597348081380470787,Sun Jul 31 12:34:35 +0000 2022,1553720734572224512,true,wszystko na tym profilu to literacka fikcja,225,0,8,0,Oświęcim,Dragomir Sonar,DragomirSonar,90,,,false
